global_index,category,pck_hm,pck_rg,hits_hm,hits_rg,denom
109,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
110,both_fail,0.0,0.20000000298023224,0,1,5
111,both_fail,0.0,0.0,0,0,5
112,both_fail,0.0,0.20000000298023224,0,1,5
113,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
114,both_fail,0.4000000059604645,0.0,2,0,5
115,rg_only,0.0,0.800000011920929,0,4,5
116,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
117,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
118,both_fail,0.0,0.0,0,0,5
119,both_fail,0.0,0.20000000298023224,0,1,5
120,both_fail,0.0,0.20000000298023224,0,1,5
121,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
122,both_fail,0.20000000298023224,0.0,1,0,5
123,both_fail,0.20000000298023224,0.0,1,0,5
124,both_fail,0.20000000298023224,0.0,1,0,5
125,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
126,both_fail,0.0,0.0,0,0,5
127,both_fail,0.20000000298023224,0.6000000238418579,1,3,5
128,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
129,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
130,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
131,both_fail,0.0,0.0,0,0,5
132,both_fail,0.20000000298023224,0.0,1,0,5
133,both_fail,0.0,0.0,0,0,5
134,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
135,both_fail,0.0,0.20000000298023224,0,1,5
136,both_fail,0.4000000059604645,0.4000000059604645,2,2,5
137,both_fail,0.0,0.6000000238418579,0,3,5
138,both_fail,0.4000000059604645,0.0,2,0,5
139,both_fail,0.20000000298023224,0.6000000238418579,1,3,5
140,both_fail,0.0,0.0,0,0,5
141,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
142,both_fail,0.0,0.4000000059604645,0,2,5
143,both_fail,0.4000000059604645,0.20000000298023224,2,1,5
144,both_fail,0.20000000298023224,0.0,1,0,5
145,both_fail,0.20000000298023224,0.6000000238418579,1,3,5
146,both_fail,0.0,0.0,0,0,5
147,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
148,both_fail,0.0,0.20000000298023224,0,1,5
149,both_fail,0.0,0.0,0,0,5
150,both_fail,0.20000000298023224,0.0,1,0,5
151,both_fail,0.0,0.0,0,0,5
152,rg_only,0.0,1.0,0,5,5
153,both_fail,0.20000000298023224,0.0,1,0,5
154,both_fail,0.0,0.0,0,0,5
155,both_fail,0.0,0.0,0,0,5
156,both_fail,0.0,0.20000000298023224,0,1,5
157,both_fail,0.20000000298023224,0.0,1,0,5
158,both_fail,0.4000000059604645,0.0,2,0,5
159,both_fail,0.20000000298023224,0.0,1,0,5
160,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
161,both_fail,0.0,0.0,0,0,5
162,both_fail,0.4000000059604645,0.0,2,0,5
163,both_fail,0.20000000298023224,0.0,1,0,5
164,both_fail,0.0,0.0,0,0,5
165,both_fail,0.20000000298023224,0.0,1,0,5
166,both_fail,0.0,0.20000000298023224,0,1,5
167,both_fail,0.20000000298023224,0.0,1,0,5
168,both_fail,0.4000000059604645,0.0,2,0,5
169,both_fail,0.20000000298023224,0.0,1,0,5
170,both_fail,0.20000000298023224,0.0,1,0,5
171,both_fail,0.20000000298023224,0.0,1,0,5
172,both_fail,0.20000000298023224,0.4000000059604645,1,2,5
173,both_fail,0.0,0.4000000059604645,0,2,5
174,both_fail,0.0,0.0,0,0,5
175,both_fail,0.0,0.0,0,0,5
176,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
177,rg_only,0.20000000298023224,0.800000011920929,1,4,5
178,both_fail,0.0,0.4000000059604645,0,2,5
179,both_fail,0.20000000298023224,0.4000000059604645,1,2,5
180,both_fail,0.20000000298023224,0.0,1,0,5
181,both_fail,0.20000000298023224,0.0,1,0,5
182,both_fail,0.0,0.20000000298023224,0,1,5
183,both_fail,0.20000000298023224,0.0,1,0,5
184,both_fail,0.20000000298023224,0.0,1,0,5
185,both_fail,0.20000000298023224,0.4000000059604645,1,2,5
186,both_fail,0.0,0.6000000238418579,0,3,5
187,both_fail,0.0,0.0,0,0,5
